owner	BAKEHOUSE	BEER & WINE	BREAD	BULK	CHEESE	DELI	FISH&SEAFOOD	FLOWERS	FROZEN	GEN MERCH	HERBS&SPICES	JUICE BAR	MEAT	PACKAGED GROCERY	PERSONAL CARE	PRODUCE	REF GROCERY	SUPPLEMENTS	total_spend
49383	0.0	0.0	0.04	0.02	0.05	0.13	0.0	0.0	0.14	0.02	0.0	0.0	0.09	0.24	0.0	0.12	0.15	0.0	140.76
34156	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15
34161	0.0	0.0	0.03	0.08	0.02	0.06	0.0	0.0	0.04	0.0	0.04	0.0	0.07	0.21	0.0	0.27	0.1	0.09	385.86
49385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99
49386	0.0	0.0	0.0	0.14	0.0	0.07	0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.37	0.0	0.28	0.1	0.0	200.61
49387	0.0	0.0	0.0	0.02	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.28	0.0	0.35	0.18	0.0	40.13
49388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	113.94
49389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.02	0.11	0.0	0.72	109.14
34197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.7	0.0	0.0	0.05	0.0	0.0	34.99
49391	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
34205	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.36	0.0	24.89
34207	0.0	0.0	0.0	0.06	0.04	0.06	0.0	0.12	0.05	0.0	0.0	0.0	0.02	0.23	0.12	0.28	0.0	0.0	128.11
49392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.15	0.55	43.23
